,hh_id,name,link,salary
382,45784705,Веб-аналитик,https://chelyabinsk.hh.ru/vacancy/45784705?from=vacancy_search_list&query=data%20analyst,
383,47129665,Data Architect,https://chelyabinsk.hh.ru/vacancy/47129665?from=vacancy_search_list&query=data%20analyst,
384,46486892,Аналитик OeBS,https://chelyabinsk.hh.ru/vacancy/46486892?from=vacancy_search_list&query=data%20analyst,
385,47173445,Лид группы разработки / Lead System Analyst,https://chelyabinsk.hh.ru/vacancy/47173445?from=vacancy_search_list&query=data%20analyst,
386,43638312,Продуктовый аналитик (мобильное приложение),https://chelyabinsk.hh.ru/vacancy/43638312?from=vacancy_search_list&query=data%20analyst,
387,43074791,Digital-аналитик,https://chelyabinsk.hh.ru/vacancy/43074791?from=vacancy_search_list&query=data%20analyst,
388,47019983,Аналитик,https://chelyabinsk.hh.ru/vacancy/47019983?from=vacancy_search_list&query=data%20analyst,от 100 000 руб.
389,45356220,Data Engineering Team Lead,https://chelyabinsk.hh.ru/vacancy/45356220?from=vacancy_search_list&query=data%20analyst,
390,46442875,Бизнес-аналитик/технолог в отделе рисков,https://chelyabinsk.hh.ru/vacancy/46442875?from=vacancy_search_list&query=data%20analyst,
391,47167342,Системный аналитик (ML/AutoML),https://chelyabinsk.hh.ru/vacancy/47167342?from=vacancy_search_list&query=data%20analyst,
392,46522145,Аналитик DWH (интеграция данных),https://chelyabinsk.hh.ru/vacancy/46522145?from=vacancy_search_list&query=data%20analyst,
393,45407842,Marketing Analytics Team Lead,https://chelyabinsk.hh.ru/vacancy/45407842?from=vacancy_search_list&query=data%20analyst,
394,45407824,Marketing Analytics Team Lead,https://chelyabinsk.hh.ru/vacancy/45407824?from=vacancy_search_list&query=data%20analyst,
395,47166367,Network Analyst (Network – System Services),https://chelyabinsk.hh.ru/vacancy/47166367?from=vacancy_search_list&query=data%20analyst,
396,46937046,Младший веб-аналитик,https://chelyabinsk.hh.ru/vacancy/46937046?from=vacancy_search_list&query=data%20analyst,
397,46608425,Лингвист-аналитик,https://chelyabinsk.hh.ru/vacancy/46608425?from=vacancy_search_list&query=data%20analyst,от 80 000 руб.
398,43569281,"Продуктовый аналитик команды ""Каналы продаж и обслуживания"" (бизнес-стрим ""Аналитика и Отчетность"")",https://chelyabinsk.hh.ru/vacancy/43569281?from=vacancy_search_list&query=data%20analyst,
399,46809994,Веб-аналитик,https://chelyabinsk.hh.ru/vacancy/46809994?from=vacancy_search_list&query=data%20analyst,
400,47076301,Младший BI аналитик,https://chelyabinsk.hh.ru/vacancy/47076301?from=vacancy_search_list&query=data%20analyst,
401,45135832,Аналитик по продукту (Middle / Senior),https://chelyabinsk.hh.ru/vacancy/45135832?from=vacancy_search_list&query=data%20analyst,
402,45707426,Аналитик SQL,https://chelyabinsk.hh.ru/vacancy/45707426?from=vacancy_search_list&query=data%20analyst,
403,46563246,Senior Web Analyst,https://chelyabinsk.hh.ru/vacancy/46563246?from=vacancy_search_list&query=data%20analyst,
404,46368123,Дата аналитик,https://chelyabinsk.hh.ru/vacancy/46368123?from=vacancy_search_list&query=data%20analyst,
405,47155956,Data Engineer (Predictive),https://chelyabinsk.hh.ru/vacancy/47155956?from=vacancy_search_list&query=data%20analyst,
406,46912965,Senior IT System Analyst,https://chelyabinsk.hh.ru/vacancy/46912965?from=vacancy_search_list&query=data%20analyst,
407,46166439,Аналитик Power BI,https://chelyabinsk.hh.ru/vacancy/46166439?from=vacancy_search_list&query=data%20analyst,150 000 – 150 000 руб.
408,46631844,Marketing Analyst,https://chelyabinsk.hh.ru/vacancy/46631844?from=vacancy_search_list&query=data%20analyst,
409,47129280,Data Engineer (Senior),https://chelyabinsk.hh.ru/vacancy/47129280?from=vacancy_search_list&query=data%20analyst,от 200 000 руб.
410,41845516,Lead/senior Data engineer,https://chelyabinsk.hh.ru/vacancy/41845516?from=vacancy_search_list&query=data%20analyst,
411,46412827,Продуктовый аналитик (MY.GAMES),https://chelyabinsk.hh.ru/vacancy/46412827?from=vacancy_search_list&query=data%20analyst,
412,44122053,Data-аналитик (операционные риски),https://chelyabinsk.hh.ru/vacancy/44122053?from=vacancy_search_list&query=data%20analyst,
413,43146453,Исследователь-экономист (research analyst in economics),https://chelyabinsk.hh.ru/vacancy/43146453?from=vacancy_search_list&query=data%20analyst,60 000 – 120 000 руб.
