,sj_id,name,link,salary
131,38312265,Аналитик в международную IT-кампанию,https://www.superjob.ru/vakansii/analitik-v-mezhdunarodnuyu-it-kampaniyu-38312265.html,до 95 000 руб./месяц
132,38399171,Аналитик по противодействию мошенничеству,https://www.superjob.ru/vakansii/analitik-po-protivodejstviyu-moshennichestvu-38399171.html,По договорённости
133,36645633,Бизнес-аналитик,https://www.superjob.ru/vakansii/biznes-analitik-36645633.html,до 60 200 руб./месяц
134,38182246,Специалист-аналитик по приему и обработке экстренных вызовов,https://www.superjob.ru/vakansii/specialist-analitik-po-priemu-i-obrabotke-ekstrennyh-vyzovov-38182246.html,35 000 — 40 000 руб./месяц
135,36167517,Ведущий специалист-аналитик служба организации производства,https://www.superjob.ru/vakansii/veduschij-specialist-analitik-sluzhba-organizacii-proizvodstva-36167517.html,от 50 000 руб./месяц
136,36561481,Главный кредитный аналитик (корпоративный и инвестиционный бизнес),https://www.superjob.ru/vakansii/glavnyj-kreditnyj-analitik-36561481.html,По договорённости
137,33271680,Экономист/финансист/финансовый аналитик/финансовый директор,https://www.superjob.ru/vakansii/ekonomist-33271680.html,По договорённости
138,38501235,Ведущий консультант-аналитик 1С (full time),https://www.superjob.ru/vakansii/veduschij-konsultant-analitik-1s-38501235.html,от 180 000 руб./месяц
139,38409719,Системный аналитик,https://www.superjob.ru/vakansii/sistemnyj-analitik-38409719.html,По договорённости
140,38542555,Аналитик баз данных,https://www.superjob.ru/vakansii/analitik-baz-dannyh-38542555.html,По договорённости
141,38314146,Ведущий консультант 1С: ЗУП / Аналитик 1С: ЗУП,https://www.superjob.ru/vakansii/veduschij-konsultant-1s-38314146.html,По договорённости
142,38630357,Бизнес / Системный аналитик,https://www.superjob.ru/vakansii/biznes-38630357.html,По договорённости
143,38409475,Разработчик-аналитик T-SQL,https://www.superjob.ru/vakansii/razrabotchik-analitik-t-sql-38409475.html,По договорённости
144,38409453,Аналитик трейдер,https://www.superjob.ru/vakansii/analitik-trejder-38409453.html,от 40 000 руб./месяц
145,38308536,Системный аналитик,https://www.superjob.ru/vakansii/sistemnyj-analitik-38308536.html,По договорённости
146,38629974,Специалист технического пресейла / Аналитик-консультант,https://www.superjob.ru/vakansii/specialist-tehnicheskogo-presejla-38629974.html,от 90 000 руб./месяц
147,38408985,Системный аналитик DWH,https://www.superjob.ru/vakansii/sistemnyj-analitik-dwh-38408985.html,По договорённости
148,38497637,Аналитик (растениеводство),https://www.superjob.ru/vakansii/analitik-38497637.html,По договорённости
149,38407806,Аналитик бизнес-процессов,https://www.superjob.ru/vakansii/analitik-biznes-processov-38407806.html,до 150 000 руб./месяц
150,28262851,Химик-аналитик,https://www.superjob.ru/vakansii/himik-analitik-28262851.html,от 30 000 руб./месяц
151,38491455,Бизнес-аналитик в IT,https://www.superjob.ru/vakansii/biznes-analitik-v-it-38491455.html,от 60 000 руб./месяц
152,38304395,HR Аналитик,https://www.superjob.ru/vakansii/hr-analitik-38304395.html,По договорённости
153,38303843,Бизнес-аналитик по товародвижению,https://www.superjob.ru/vakansii/biznes-analitik-po-tovarodvizheniyu-38303843.html,По договорённости
154,38622404,Бизнес-аналитик,https://www.superjob.ru/vakansii/biznes-analitik-38622404.html,По договорённости
155,38172362,Ведущий аналитик 1С,https://www.superjob.ru/vakansii/veduschij-analitik-1s-38172362.html,до 150 000 руб./месяц
156,32715654,Младший аналитик,https://www.superjob.ru/vakansii/mladshij-analitik-32715654.html,25 000 — 30 000 руб./месяц
157,38620074,Аналитик отдела товародвижения,https://www.superjob.ru/vakansii/analitik-otdela-tovarodvizheniya-38620074.html,По договорённости
158,38301805,Экономист-аналитик,https://www.superjob.ru/vakansii/ekonomist-analitik-38301805.html,По договорённости
